Monitoring Date,Officer ID,Officer Name,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID
7/1/2022,18,Uma Allen,22,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",730,Noise Level Measurement,Description 169,4.83,Equipment 3,271.22,Compliant,4,3752
8/25/2022,23,Grace Jones,12,King Edward Park,"Reserve Road, Newcastle, NSW 2300",147,Noise Level Measurement,Description 71,4.77,Equipment 9,29.8,Compliant,2,1071
11/6/2022,7,Hannah Moore,21,Newcastle Beach,"Shortland Esplanade, Newcastle, NSW 2300",259,Noise Level Measurement,Description 1,6.63,Equipment 10,12.61,Non-Compliant,3,2236
9/23/2022,6,Vicky Turner,21,Merewether Beach,"John Parade, Merewether, NSW 2291",224,Water Quality Test,Description 119,4.19,Equipment 20,268.41,Compliant,5,865
2/3/2022,1,Laura Clark,15,Nobbys Beach,"Wharf Road, Newcastle East, NSW 2300",821,Noise Level Measurement,Description 33,2.72,Equipment 18,170.44,Compliant,3,4281
1/6/2022,8,Xena Perez,19,Speers Point Park,"Park Road, Speers Point, NSW 2284",820,Air Quality Check,Description 57,5.48,Equipment 18,302.05,Non-Compliant,1,988
10/3/2022,15,Ella Brown,11,Warners Bay Foreshore,"The Esplanade, Warners Bay, NSW 2282",303,Soil Quality Test,Description 80,2.16,Equipment 5,281.18,Non-Compliant,3,2511
9/25/2022,6,Alice Johnson,13,Redhead Beach,"Beach Road, Redhead, NSW 2290",558,Air Quality Check,Description 102,1.67,Equipment 5,5.32,Compliant,2,4703
11/7/2022,11,Zoe Ward,5,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",581,Soil Quality Test,Description 165,2.24,Equipment 13,110.09,Non-Compliant,4,4674
8/2/2022,8,Catherine Lee,3,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",83,Water Quality Test,Description 45,4.55,Equipment 1,237.62,Compliant,2,4526
7/6/2022,15,Laura Clark,12,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",928,Soil Quality Test,Description 22,1.8,Equipment 14,308.07,Compliant,3,2427
10/3/2022,14,Vicky Turner,18,Belmont Wetlands State Park,"Kalaroo Road, Redhead, NSW 2290",576,Water Quality Test,Description 69,1.57,Equipment 16,85.84,Non-Compliant,2,23
1/22/2022,3,Diana Taylor,11,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",509,Air Quality Check,Description 129,7.87,Equipment 11,270.26,Compliant,2,4991
8/17/2022,21,Ella Brown,22,Mount Sugarloaf,"Mount Sugarloaf Road, West Wallsend, NSW 2286",589,Noise Level Measurement,Description 79,2.21,Equipment 1,139.37,Compliant,5,468
7/28/2022,21,Paula Young,14,Charlestown Park,"Frederick Street, Charlestown, NSW 2290",545,Soil Quality Test,Description 136,2.49,Equipment 15,405.11,Non-Compliant,3,3281
12/17/2022,13,Diana Taylor,24,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",436,Soil Quality Test,Description 125,1.18,Equipment 13,449.96,Non-Compliant,3,3938
2/16/2022,1,Laura Clark,20,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",918,Soil Quality Test,Description 100,1.95,Equipment 16,385.99,Non-Compliant,1,25
5/16/2022,2,Fiona Wilson,6,Awaba State Forest,"Mount Faulk Road, Awaba, NSW 2283",339,Soil Quality Test,Description 90,6.62,Equipment 4,21.55,Non-Compliant,4,2814
